paso,agentes_activos,agentes_evac,conflictos,ratio_evac,conflictos_rapido_gana,conflictos_lento_gana,conflictos_empate_random
0,16,0,0,0.0,0,0,0
1,16,0,5,0.0,0,3,0
2,16,0,2,0.0,0,4,1
3,16,0,2,0.0,0,6,1
4,16,0,2,0.0,0,7,2
5,16,0,2,0.0,0,7,2
6,14,2,2,0.125,0,8,2
7,12,4,1,0.25,0,9,2
8,10,6,1,0.375,0,10,2
9,8,8,1,0.5,1,10,2
10,6,10,1,0.625,2,10,2
11,4,12,1,0.75,3,10,2
12,3,13,1,0.8125,4,10,2
13,2,14,0,0.875,4,10,2
14,1,15,0,0.9375,4,10,2
15,0,16,0,1.0,4,10,2
