paso,agentes_activos,agentes_evac,conflictos,ratio_evac,conflictos_rapido_gana,conflictos_lento_gana,conflictos_empate_random
0,72,0,0,0.0,0,0,0
1,70,2,14,0.0278,6,6,0
2,68,4,12,0.0556,10,10,3
3,66,6,15,0.0833,15,15,4
4,62,10,14,0.1389,19,20,5
5,58,14,12,0.1944,24,25,6
6,54,18,11,0.25,30,27,10
7,50,22,11,0.3056,35,32,15
8,46,26,9,0.3611,38,37,20
9,43,29,7,0.4028,41,41,22
10,40,32,6,0.4444,44,43,24
11,36,36,5,0.5,48,43,24
12,32,40,5,0.5556,50,45,25
13,29,43,6,0.5972,52,49,28
14,27,45,5,0.625,55,50,29
15,25,47,6,0.6528,60,50,29
16,23,49,5,0.6806,63,51,29
17,21,51,5,0.7083,66,53,30
18,19,53,3,0.7361,69,53,30
19,17,55,3,0.7639,72,53,30
20,16,56,3,0.7778,74,54,31
21,15,57,3,0.7917,76,55,31
22,14,58,3,0.8056,77,57,31
23,12,60,3,0.8333,77,60,32
24,11,61,3,0.8472,77,63,33
25,10,62,3,0.8611,77,66,34
26,9,63,2,0.875,77,68,34
27,7,65,2,0.9028,77,70,35
28,5,67,2,0.9306,77,72,36
29,3,69,1,0.9583,77,73,37
30,1,71,1,0.9861,77,74,38
31,0,72,0,1.0,77,74,38
