paso,agentes_activos,agentes_evac,conflictos,ratio_evac
0,16,0,3,0.0
1,16,0,1,0.0
2,16,0,1,0.0
3,16,0,2,0.0
4,16,0,2,0.0
5,14,2,2,0.125
6,12,4,1,0.25
7,10,6,1,0.375
8,9,7,1,0.4375
9,8,8,1,0.5
10,7,9,1,0.5625
11,6,10,1,0.625
12,5,11,1,0.6875
13,4,12,1,0.75
14,3,13,1,0.8125
15,2,14,0,0.875
16,1,15,0,0.9375
17,0,16,0,1.0
