paso,agentes_activos,agentes_evac,conflictos,ratio_evac,conflictos_rapido_gana,conflictos_lento_gana,conflictos_empate_random
0,4,0,0,0.0,0,0,0
1,4,0,0,0.0,0,0,0
2,4,0,0,0.0,0,0,0
3,4,0,0,0.0,0,0,0
4,4,0,0,0.0,0,0,0
5,4,0,0,0.0,0,0,0
6,4,0,0,0.0,0,0,0
7,4,0,0,0.0,0,0,0
8,4,0,0,0.0,0,0,0
9,3,1,0,0.25,0,0,0
10,2,2,0,0.5,0,0,0
11,1,3,0,0.75,0,0,0
12,1,3,0,0.75,0,0,0
13,0,4,0,1.0,0,0,0
