paso,agentes_activos,agentes_evac,conflictos,ratio_evac
0,16,0,1,0.0
1,16,0,2,0.0
2,16,0,1,0.0
3,16,0,1,0.0
4,16,0,1,0.0
5,16,0,2,0.0
6,14,2,2,0.125
7,12,4,2,0.25
8,10,6,2,0.375
9,8,8,1,0.5
10,7,9,1,0.5625
11,5,11,1,0.6875
12,4,12,1,0.75
13,3,13,0,0.8125
14,2,14,0,0.875
15,1,15,0,0.9375
16,0,16,0,1.0
