paso,agentes_activos,agentes_evac,conflictos,ratio_evac
0,16,0,2,0.0
1,16,0,2,0.0
2,16,0,2,0.0
3,16,0,2,0.0
4,16,0,1,0.0
5,14,2,1,0.125
6,13,3,1,0.1875
7,12,4,1,0.25
8,11,5,1,0.3125
9,9,7,1,0.4375
10,8,8,1,0.5
11,7,9,1,0.5625
12,6,10,2,0.625
13,5,11,2,0.6875
14,4,12,2,0.75
15,3,13,1,0.8125
16,2,14,1,0.875
17,1,15,1,0.9375
18,0,16,0,1.0
